CompanyName,Symbol,MarketCapitalization(%),StockPrice($),Allocations
Apple Inc.,AAPL,7.22,193.15,21.0
Microsoft Corp,MSFT,6.99,374.07,11.0
Amazon.com Inc,AMZN,3.51,153.34,13.0
Nvidia Corp,NVDA,3.01,494.17,3.0
Alphabet Inc. Class A,GOOGL,2.08,140.37,8.0
"Meta Platforms, Inc. Class A",META,1.97,357.83,3.0
Alphabet Inc. Class C,GOOG,1.76,141.44,7.0
"Tesla, Inc.",TSLA,1.73,261.44,4.0
Berkshire Hathaway Class B,BRK.B,1.64,356.95,3.0
Broadcom Inc.,AVGO,1.24,1126.17,1.0
Jpmorgan Chase & Co.,JPM,1.22,169.4,4.0
Unitedhealth Group Incorporated,UNH,1.21,522.79,1.0
Eli Lilly & Co.,LLY,1.15,581.51,1.0
Visa Inc.,V,1.04,258.93,2.0
Exxon Mobil Corporation,XOM,1.03,101.66,6.0
Johnson & Johnson,JNJ,0.94,156.35,3.0
"Home Depot, Inc.",HD,0.88,348.53,1.0
Mastercard Incorporated,MA,0.88,424.36,1.0
Procter & Gamble Company,PG,0.86,146.06,3.0
Costco Wholesale Corp,COST,0.74,666.8,1.0
Adobe Inc.,ADBE,0.69,596.08,1.0
Abbvie Inc.,ABBV,0.68,154.88,3.0
"Merck & Co., Inc.",MRK,0.68,107.98,4.0
Chevron Corporation,CVX,0.67,151.91,3.0
"Salesforce, Inc.",CRM,0.64,266.72,1.0
"Pepsico, Inc.",PEP,0.58,169.4,2.0
Bank of America Corporation,BAC,0.58,33.84,10.0
Coca-Cola Company,KO,0.57,58.71,6.0
Walmart Inc.,WMT,0.56,157.88,2.0
Advanced Micro Devices,AMD,0.56,146.07,2.0
Netflix Inc,NFLX,0.54,491.79,1.0
Accenture Plc,ACN,0.54,353.82,1.0
Mcdonald's Corporation,MCD,0.53,294.55,1.0
"Cisco Systems, Inc.",CSCO,0.51,50.44,6.0
"Thermo Fisher Scientific, Inc.",TMO,0.51,531.65,1.0
Linde Plc,LIN,0.5,411.21,1.0
Intel Corp,INTC,0.49,50.76,6.0
Abbott Laboratories,ABT,0.47,109.79,2.0
Wells Fargo & Co.,WFC,0.45,49.33,5.0
Comcast Corp,CMCSA,0.45,43.99,6.0
